 14240	  1484	  9588	41.05	  -347	   -81	    59	 13936	  1588	  8368	25.24	   -42	  -299	    88	-12980	 -7156	  6192	27.12	  -121	  -307	  -225	
 13860	  1208	  9844	41.05	  -429	  -670	    10	 14228	  1764	  8720	25.33	   -22	  -512	     2	-13052	 -6960	  6268	27.07	   -49	  -160	  -269	
 13824	  1492	  9684	41.19	  -570	   227	  -254	 14348	  1444	  8672	25.28	  -810	   178	   -61	-12932	 -6988	  6512	27.12	   -79	   -57	   -71	
 14224	  1636	  9528	41.28	  -605	   -80	  -321	 14112	  1216	  8532	25.33	  -404	   228	   164	-12996	 -7008	  6308	27.07	  -310	  -197	    -1	
 13852	   728	  9548	41.05	  -509	  -476	   447	 14044	  1716	  8588	25.28	  -775	   -27	    -4	-13060	 -7032	  6496	27.07	  -249	   -22	   156	
 14080	  1708	  9572	41.05	    13	  -449	  -180	 15220	   516	  8540	25.24	   242	   841	   773	-12940	 -7080	  6364	27.12	   -41	  -119	   -60	
 14040	  1784	  9628	41.05	   376	  -621	   132	 14616	  1352	  8240	25.28	   903	  -570	   345	-12964	 -6904	  6508	26.98	  -238	  -228	  -113	
 14396	  1496	  9424	41.19	    40	  -306	   139	 14820	  1680	  8452	25.28	   281	 -1136	   485	-13076	 -6964	  6272	27.12	  -705	  -128	   208	
 16572	  1048	 10608	41.05	  1239	 -2429	  1728	 13184	  1832	  8220	25.28	  -226	 -1418	  -244	-13008	 -7248	  6672	26.98	  -445	   -99	    82	
 13640	  1512	  8384	41.24	  -208	 -1809	  -390	 14748	  1144	  8072	25.28	   592	  -726	    -3	-13028	 -7320	  6512	27.02	  -193	  -146	   -27	
 15216	  1136	  8356	41.19	  -177	   -78	   -55	 14412	  2068	  7900	25.38	  -255	   425	  -188	-13100	 -7080	  6364	27.07	  -217	  -199	   -84	
 14112	  1584	  8808	41.28	  -454	   351	  -352	 14988	  1764	  7444	25.33	   222	   303	    96	-13004	 -6992	  6264	27.07	  -351	  -280	    59	
 14472	  1600	  8576	41.19	   -97	    91	    10	 14784	  1548	  7864	25.38	   -35	  -225	    31	-13004	 -6980	  6500	27.07	  -455	  -129	   271	
 14396	  1388	  8780	40.95	  -378	  -232	   -95	 14796	  1640	  7364	25.33	   177	  -330	   153	-12892	 -7092	  6488	26.93	  -406	  -146	   258	
 14540	  1316	  8536	40.95	  -302	  -191	   -30	 14796	  1744	  7612	25.38	   -85	  -166	   127	-12924	 -7252	  6508	27.07	  -273	  -159	    61	
 14312	  1424	  8468	41.19	  -592	  -180	   -56	 14992	  1688	  7360	25.38	   -39	  -210	   111	-12944	 -7020	  6396	27.12	    -8	  -104	    50	
 14496	  1252	  8480	40.95	  -444	   -60	  -152	 15092	  1536	  7328	25.38	  -260	   199	   -32	-12980	 -6904	  6300	27.07	  -222	   -93	    32	
 14628	  1412	  8288	41.24	  -376	   -17	  -215	 14648	  1672	  7568	25.28	  -198	    20	   -57	-13040	 -6956	  6252	27.07	  -489	  -145	   -32	
 14260	  1552	  8476	40.91	  -294	   154	   -63	 15064	  1528	  7384	25.28	   -84	   262	    13	-13076	 -6964	  6440	27.07	  -505	  -160	    55	
 14564	  1444	  8356	41.24	  -202	   281	    30	 14764	  1628	  7528	25.28	   239	  -273	    67	-13068	 -6948	  6240	27.17	  -785	  -257	   301	
 14312	  1540	  8576	41.05	    42	  -255	   -64	 14920	  1628	  7260	25.28	   383	   267	   194	-13052	 -7036	  6436	27.07	  -991	  -327	   190	
 14524	  1632	  8476	41.05	   311	    33	    76	 14820	  1652	  7324	25.19	   378	    -7	   107	-13072	 -7080	  6304	27.17	  -848	  -401	   166	
 14412	  1660	  8428	40.95	    45	    77	    20	 14892	  1700	  7620	25.42	   395	   206	   173	-13144	 -7024	  6084	27.12	  -776	  -284	   161	
 14004	  2168	  8740	41.05	   233	  1176	     5	 15044	  2208	  7808	25.33	   858	  1223	   534	-13200	 -6896	  5596	27.07	 -2209	 -1190	   265	
 14096	  1904	  8780	41.05	  1966	   464	   729	 14508	  2128	  7872	25.33	  2318	   319	   830	-13116	 -7020	  5668	27.12	 -3666	 -1275	  1138	
 14004	  2272	  9088	41.24	  2257	  1189	   529	 13060	  2884	  9612	25.38	  2268	  4091	  -632	-13548	 -7276	  5572	27.07	 -3756	 -1073	  1748	
 13176	  2920	 10560	41.09	  2325	 -1686	   938	 14656	  3532	  7368	25.33	  3145	 -1006	  1467	-12000	 -7668	  5940	27.12	 -3709	 -1969	  2429	
 13984	  3748	  8480	41.19	  4944	   910	  2572	 14048	  3016	  8324	25.19	  5322	   663	  2610	-14184	 -7228	  4700	27.17	 -6067	 -3478	  1162	
 13932	  3536	  8388	40.95	  3256	  -100	  2360	 13636	  3884	  7372	25.28	  4070	   284	  3146	-13484	 -7764	  5248	27.02	 -4225	 -2498	  4459	
 14164	  3704	  8976	40.77	  3137	  -269	  3345	 14880	  4256	  8004	25.19	  4181	  -467	  3404	-13844	 -7164	  5696	27.12	 -3812	 -3610	  2850	
 15172	  1452	  9008	41.42	  7427	 -1211	  5730	 14420	  -108	  7124	25.24	  7153	 -1009	  3950	-13328	 -5084	  6124	27.07	 -7248	 -4510	   457	
 14488	 -1536	  7980	41.19	  7041	   725	  4453	 14436	  -540	  5964	25.33	  6759	   -77	  3978	-12152	 -5384	  7624	27.07	 -7425	 -2434	  4231	
 13660	 -1012	  8708	40.95	  5400	  1835	  2972	 15968	 -1000	  8204	25.33	  4196	  1155	  2200	-12648	 -6796	  7720	26.98	 -4580	 -1221	  4980	
 13980	 -1096	  8292	41.05	  2610	   615	  1490	 15344	  -584	  6960	25.24	  2090	   931	   937	-13160	 -6876	  7904	27.02	 -1919	  -692	  1849	
 15368	   156	  8284	41.19	   554	   914	   206	 15532	    72	  7252	25.24	   637	   279	   265	-12608	 -6328	  7512	27.07	  -670	  -554	  -666	
 14224	   -20	  8260	40.95	  -764	   426	  -514	 15388	   268	  7424	25.33	 -1093	   197	  -739	-13204	 -6196	  6960	27.07	   889	   359	 -1454	
 15200	   872	  8940	40.91	 -1361	  -452	 -1433	 15280	  1080	  7364	25.24	 -1780	  -981	 -1510	-13288	 -6000	  6848	27.17	  1938	  1017	 -1792	
 14948	  2044	  7600	41.05	 -2272	  -504	 -1711	 14736	  1904	  7344	25.28	 -2350	  -455	 -1441	-13356	 -6240	  5932	27.02	  1542	   664	 -1859	
 14248	  2072	  8068	40.86	 -1965	  -559	 -1234	 15004	  2364	  6768	25.24	 -1419	   766	  -670	-13896	 -5960	  6004	27.07	   882	   448	 -1529	
 14404	  1456	  8448	41.19	 -1519	   -41	  -465	 14976	  2304	  7036	25.28	 -1864	   128	  -633	-13416	 -6128	  6400	27.02	   847	   734	   252	
 14648	  1804	  8408	41.05	 -2296	   -89	  -674	 14148	  2760	  6764	25.28	 -1225	   178	  -524	-13128	 -6504	  6492	27.07	   542	   368	   212	
 15308	  1140	  8992	40.95	 -1885	  2012	  -892	 15116	  2524	  7084	25.28	  -549	   -24	  -355	-13204	 -6624	  6328	27.12	   -23	  -246	  -406	
 14192	  2012	  8748	41.05	 -1113	   418	  -629	 14780	  1792	  7628	25.33	  -641	   259	  -285	-13332	 -6512	  6332	27.07	   282	  -124	  -436	
 14180	  1656	  9152	41.19	  -730	   355	  -383	 14548	  1944	  8008	25.28	  -548	   324	  -179	-13120	 -6536	  6396	27.07	   159	   -40	  -441	
 13976	  1760	  9032	41.19	  -972	   294	  -404	 14312	  1976	  8308	25.28	  -682	   436	  -131	-13028	 -6796	  6540	27.17	   107	   -20	    65	
 13828	  1840	  9260	41.09	  -996	   351	  -233	 14448	  1668	  8160	25.28	  -675	   291	   -57	-13036	 -6792	  6600	27.12	   202	  -213	   -97	
 14060	  1592	  9508	41.05	  -915	   172	  -197	 14492	  1460	  8152	25.28	  -685	   -18	  -108	-12952	 -6756	  6372	27.07	   361	   -21	  -300	
 14132	  1460	  9380	41.09	  -948	    59	  -302	 14332	  1468	  8404	25.38	  -915	  -109	  -274	-13028	 -6548	  6868	27.02	   510	   290	  -294	
 14036	  1360	  9288	41.05	 -1079	   -24	  -449	 14460	  1572	  8208	25.28	  -907	   -86	  -314	-13164	 -6612	  6788	27.07	   582	    40	  -478	
 14016	  1460	  9228	41.05	 -1031	  -150	  -423	 14392	  1508	  8284	25.38	  -660	   -26	  -118	-13284	 -6368	  6584	27.07	   293	  -116	  -414	
 14004	  1316	  9124	41.09	  -829	   126	  -181	 14488	  1552	  8068	25.38	  -620	   122	   -43	-13152	 -6288	  6840	27.07	    74	  -301	  -153	
 14008	  1296	  9180	40.95	  -613	    79	   -68	 14484	  1440	  8204	25.28	  -337	    44	    38	-13252	 -6212	  6628	27.17	  -175	  -257	   131	
 14000	  1184	  9216	41.05	  -493	    55	   -73	 14416	  1472	  8068	25.24	  -188	    53	   123	-13200	 -6300	  6744	27.07	  -471	  -272	   241	
 14008	  1480	  9316	40.86	  -269	    75	   103	 14416	  1428	  8244	25.38	   215	    92	   343	-13204	 -6328	  6956	27.07	  -680	  -566	   227	
 13924	  1424	  9372	40.95	   278	    95	   475	 14368	  1724	  8288	25.24	   589	     6	   594	-13332	 -6224	  6788	27.02	 -1322	 -1133	   475	
 13948	  1672	  9428	40.91	  1069	   -36	  1123	 14316	  1808	  8264	25.38	  1716	   -20	  1494	-13084	 -6244	  6516	27.07	 -2238	 -1442	  1210	
 14152	  1352	  9280	41.28	  2033	   174	  1598	 14460	  1344	  8264	25.38	  2641	   138	  1769	-13264	 -6268	  6812	27.12	 -3367	 -1850	  1300	
 14096	  1524	  9320	41.19	  2803	    -3	  1884	 14752	  1780	  8388	25.28	  3436	  -214	  2152	-13340	 -6356	  6820	27.12	 -3559	 -2024	  1867	
 14312	  1320	  9172	41.09	  3497	  -604	  2553	 14984	  1332	  8380	25.38	  3973	  -840	  2780	-13580	 -6076	  7016	27.07	 -3307	 -1713	  2072	
 14188	  -120	  8624	40.91	  3343	 -1362	  2866	 14440	 -1044	  6560	25.33	  3112	 -1031	  2233	-12792	 -5652	  7424	27.02	 -1873	   110	  2545	
 14992	 -1632	  7328	41.24	  1436	  -459	   599	 14856	 -1292	  6356	25.24	   679	   352	     4	-12164	 -6428	  7952	26.98	 -1341	   479	  1106	
 14888	 -1408	  8236	41.05	 -1883	  1050	 -1963	 15340	  -852	  7504	25.28	 -2593	   789	 -2135	-12316	 -6756	  8764	27.12	  1829	  1294	  -616	
 14568	  -712	  8500	40.95	 -3710	     5	 -3055	 14952	   372	  7260	25.33	 -3858	  -407	 -3058	-13268	 -6068	  7684	26.98	  4711	   704	 -4903	
 14896	    52	  8108	41.05	 -4102	  -297	 -3028	 14824	   140	  6872	25.33	 -4164	  -382	 -2766	-13820	 -6612	  7304	27.02	  4640	     7	 -7638	
 15084	  1796	  9080	40.86	 -4849	  -606	 -2838	 14960	  2756	  8152	25.28	 -3921	 -1205	 -2375	-11384	 -8624	  7456	27.07	  1788	 -2984	 -9251	
 12116	  3756	  8712	41.19	 -2734	  -521	 -1998	 15648	  4320	  8924	25.28	 -1741	   734	 -1200	-10108	-10928	  8876	27.02	  -996	 -4573	 -4463	
 13648	  2168	 10384	41.19	 -1273	   647	 -1263	 13032	  3692	  7904	25.28	 -1158	   583	 -1204	 -3956	-11856	 18036	27.07	 -1080	 -6148	 -5417	
 12552	  3528	  9620	40.91	   311	  2637	   413	 13516	  2764	  9848	25.38	  -108	  2619	   867	 -4528	-18992	 13652	27.02	  4411	-16936	-17663	
 13448	  1876	 10976	40.91	  -408	  2014	   597	 12952	  1480	  9940	25.38	  -300	  1384	   447	 -1096	 -8800	  7768	27.02	  8235	-11331	-14194	
 13824	  2104	 11532	41.09	  -843	  1495	    71	 13776	  1112	 10252	25.38	 -1411	  -118	  -227	 10044	 -9712	 12884	26.98	  5615	 -8622	 -7740	
 12556	  3564	 10688	41.05	    29	   997	  1001	 14380	  1976	  9792	25.33	   725	   693	  1647	 10820	 -5820	  5988	27.02	  5453	 -9752	 -9767	
 12692	  1060	 10624	41.19	  1043	  1169	  1237	 13500	  1452	  9784	25.38	  1279	   825	  1237	 10952	  -332	  6632	26.88	   395	 -5085	 -4139	
 12696	   828	 10988	40.95	  1087	   628	  1119	 13608	  1400	  9916	25.38	  1195	   498	  1297	 17772	  -856	  5804	26.88	   482	 -4196	 -2729	
 13000	  1264	 11152	41.09	  1082	   229	  1398	 13512	  1068	 10228	25.33	  1544	   244	  1626	 17724	 -5952	  -872	26.93	 -9380	 -4958	 -4672	
 12924	   560	 11280	40.86	  1104	   -35	  1487	 13476	   816	 10608	25.33	  1156	   118	  1387	  2084	 -3324	 -1792	26.88	-22480	 25060	-11554	
 13348	  1368	 12004	40.91	  1996	  1073	  1503	 10760	 -1608	  7128	25.33	   881	  1059	   294	 17632	  3424	 12432	26.88	  6090	  7320	  -722	
 11928	 -1456	 12484	41.09	   255	   484	   319	 13052	   804	  8868	25.33	 -2509	  -415	 -1378	  6948	  7428	 13820	26.93	  -206	  2863	  2386	
 13176	   356	 11308	41.05	 -1855	   396	 -1449	 12632	  1656	 10744	25.24	 -1013	   100	  -868	 13444	 -6584	 14688	26.79	  7733	-10891	  4597	
 12640	  1640	 11644	41.09	 -1543	  -328	 -1072	 13148	  1644	 10068	25.24	  -315	  -398	  -480	 18480	 -4052	 -1108	26.74	  5460	 -5321	 -1879	
 12684	  1284	 10828	41.19	  -871	   -87	  -525	 13600	  1024	  9672	25.33	  -762	  -574	  -435	 16212	 -4292	  1364	26.69	 -3606	 -2688	   239	
 12844	  1588	 10972	40.86	  -729	    -9	  -433	 13616	  1716	  9748	25.33	  -829	   122	  -141	 13500	-20416	-18068	26.65	-22327	 25378	-14189	
